Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,1.0,0.0,0.0,0.0,0.0,22.0,446.0,0.1,14.0,0.0,0.0,74.68399453163147,,,,,,,,,1.0872102,0.36476508,1.6683446,0.7122796,,,,,8.442623,6.0006423,30.353628,1.7201455,3.4415013477510574,1.675931042249717,6.346121438451972,0.5,2.839618,0.0,2.839618,2.839618,-1.7922882908746922e-16,0.99999999218321,2.260459032336181,-1.9135224246810079,-0.06108182,0.0131889945,-0.025283784,-0.09606356,1.1199516,0.35388792,1.6853472,0.76517814,-0.0043528266,0.012900027,0.011377509,-0.024502272,2.958259367027987,1.2895595039246526,5.8595591164624174,0.5,2.7829983e-05,0.0,2.7829983e-05,2.7829983e-05,0.9999773,0.004319309,1.02944,0.9804951,0.9999773,0.004319309,1.02944,0.9804951
19,1.0,0.0,0.0,20.0,1.0,20.0,466.0,0.1,12.0,0.0,0.0,82.51384687423706,,,,,,,,,,,,,,,,,,,,,3.139116067311678,1.4605947935281876,5.767202270728269,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,35.0,2.0,15.0,481.0,0.1,7.0,0.0,0.0,84.51168942451477,,,,,,,,,,,,,,,,,,,,,2.395687480166896,0.8990268136970025,3.4707677372153762,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,63.0,3.0,28.0,509.0,0.1,18.0,0.0,0.0,87.66364812850952,,,,,,,,,,,,,,,,,,,,,3.857500490382173,1.7300151538495845,6.506712748341813,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,83.0,4.0,20.0,529.0,0.1,13.0,0.0,0.0,89.87063884735107,,,,,,,,,,,,,,,,,,,,,3.395718125400127,1.7116079256223733,6.263270272520269,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,113.0,5.0,30.0,559.0,0.1,22.0,0.0,0.0,93.30407691001892,,,,,,,,,,,,,,,,,,,,,4.487215266049873,2.03422752020694,7.549102585511954,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,147.0,6.0,34.0,593.0,0.1,24.5,0.0,0.0,97.17455053329468,,,,,,,,,,,,,,,,,,,,,4.627468971456331,1.9581453028281284,7.257136617327181,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,163.0,7.0,16.0,609.0,0.1,9.5,0.0,0.0,99.27746272087097,,,,,,,,,,,,,,,,,,,,,2.8416246511376895,1.3647506077033864,5.222211608749531,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,182.0,8.0,19.0,628.0,0.1,11.5,0.0,0.0,101.45606255531311,,,,,,,,,,,,,,,,,,,,,3.1020438413890887,1.4735507518204034,5.7171229876457605,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,201.0,9.0,19.0,647.0,0.1,9.0,0.0,0.0,103.59145736694336,,,,,,,,,,,,,,,,,,,,,2.6739086141048785,0.9572507037606477,3.749339307645761,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
