Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,395.0,18.0,34.0,395.0,0.1,10.143153305929157,0.0,0.0,44.80338978767395,,,,,,,,,,,,,,,,,,,,,3.0098858167197524,3.1968311326235517,10.060928985202105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,416.0,19.0,21.0,416.0,0.1,8.458485155009878,0.0,0.0,47.500956535339355,,,,,,,,,,,,,,,,,,,,,1.8641095836289243,2.8175107075852424,8.436202823197243,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,445.0,20.0,29.0,445.0,0.1,5.65352202611661,0.0,0.0,50.86938548088074,,,,,,,,,,,,,,,,,,,,,1.6561929468299255,1.5966482884689321,5.616720254447182,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,35.0,1.0,35.0,480.0,0.1,8.152176812220317,0.0,0.0,119.78976774215698,,,,,,,,,,,,,,,,,,,,,2.6219663993731697,2.3058100203266405,8.076553017724688,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,52.0,2.0,17.0,497.0,0.1,4.004,0.0,0.0,121.75754189491272,,,,,,,,,,,,,,,,,,,,,0.8231761769997059,1.422973001344463,3.9979980029989997,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,74.0,3.0,22.0,519.0,0.1,4.783900471983527,0.0,0.0,124.350994348526,,,,,,,,,,,,,,,,,,,,,1.2989042954829448,1.8149496877353248,4.764849511656704,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,93.0,4.0,19.0,538.0,0.1,9.5060374036149,0.0,0.0,126.67354154586792,,,,,,,,,,,,,,,,,,,,,2.4223391318188603,3.32929219845908,9.478961403956854,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,113.0,5.0,20.0,558.0,0.1,5.040077066382888,0.0,0.0,129.16041541099548,,,,,,,,,,,,,,,,,,,,,0.7917182547304883,1.5702067363838252,5.03430627954108,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,141.0,6.0,28.0,586.0,0.1,8.378275933469013,0.0,0.0,132.47157406806946,,,,,,,,,,,,,,,,,,,,,3.1046804225905826,2.504145915370749,8.30795247864128,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,166.0,7.0,25.0,611.0,0.1,9.231895029449955,0.0,0.0,135.4111328125,,,,,,,,,,,,,,,,,,,,,3.294272157522164,3.309226625192735,9.167864787221559,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,194.0,8.0,28.0,639.0,0.1,6.9479663030361465,0.0,0.0,138.55887055397034,,,,,,,,,,,,,,,,,,,,,1.4857380445073693,2.2374312868661312,6.920199115822471,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,224.0,9.0,30.0,669.0,0.1,13.720046134718904,0.0,0.0,142.46863794326782,,,,,,,,,,,,,,,,,,,,,5.016810771442106,4.477814676608937,13.596721658170328,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,241.0,10.0,17.0,686.0,0.1,2.563012477380496,0.0,0.0,144.5381805896759,,,,,,,,,,,,,,,,,,,,,0.5381909801640163,0.8991842054418783,2.5589786289970737,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,273.0,11.0,32.0,718.0,0.1,7.727840964588955,0.0,0.0,148.28761434555054,,,,,,,,,,,,,,,,,,,,,4.121876570381863,3.143694833542784,7.649325826740395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,304.0,12.0,31.0,749.0,0.1,13.85485712254721,0.0,0.0,151.86387014389038,,,,,,,,,,,,,,,,,,,,,3.785800689765906,4.0382763986885095,13.76501356327746,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
